filename,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,mfcc21,mfcc22,mfcc23,mfcc24,mfcc25,mfcc26,mfcc27,mfcc28,mfcc29,mfcc30,mfcc31,mfcc32,mfcc33,mfcc34,mfcc35,mfcc36,mfcc37,mfcc38,mfcc39,mfcc40
../audio/high--_gb_1.wav,-237.314,239.85991,-14.383281,-8.044547,-40.449562,-14.7444515,-40.403183,-11.235392,26.132065,-10.047752,-26.438194,1.4895624,-3.605356,-7.573086,-6.9634933,4.1156116,-1.6761992,-12.992155,-5.3999605,-14.809062,-8.934276,-5.7384577,8.005964,-8.7124195,-4.6037607,1.8978883,-12.307608,-15.319946,-8.769158,0.8338605,-7.514097,3.784802,-3.314824,3.6338272,-9.920742,-13.066641,-4.703474,-9.856859,6.092164,-7.265032
../audio/high--_gb_1.wav,-250.97237,246.76343,-1.7845856,-9.875284,-38.124584,-11.647658,-31.745953,-4.842717,26.211935,-9.009975,-20.092068,5.493467,-0.52345246,-7.073781,-3.1560109,9.184322,-3.1717901,-9.077648,-6.555196,-13.026903,-5.389412,-4.4496346,8.054415,-3.731428,1.4087071,-0.8644037,-7.236645,-17.27775,-6.188067,1.9620093,-11.208465,8.278121,1.0748713,7.292562,-10.756109,-8.960115,-1.4066856,-5.004639,4.1686497,-6.0710526
../audio/high--_gb_1.wav,-252.51683,247.48889,-2.305644,-12.202534,-44.982063,-13.763033,-19.323967,1.4817619,21.313019,-6.636381,-13.986631,5.9381332,1.0100174,-6.0652833,0.023825884,9.247832,-8.604991,-13.193228,-7.4481516,-13.283285,-3.2391088,-3.7313495,8.39965,-3.3033695,-5.3468804,-1.4424028,-5.5237145,-12.075585,-1.2889127,5.7650957,-11.708663,4.8238034,2.891552,5.4721622,-6.649974,-8.533308,5.1584015,-2.2488728,0.11967403,-3.2370262
../audio/high--_gb_1.wav,-248.8688,246.35612,-10.284122,-9.213848,-40.097633,-13.325831,-18.34374,4.261118,19.214935,-13.917423,-13.09258,7.421402,-0.18089533,-10.681392,0.30981374,3.1369636,-17.962877,-20.410835,-9.034507,-6.9347796,-4.9279165,-2.3389788,10.302129,-4.127092,-9.048504,-1.099038,-1.9415841,-8.058971,-0.43465638,5.3197317,-12.55846,-1.4388769,0.5547328,-0.93639624,-8.638362,-12.337432,4.2572207,-0.49657488,0.010008305,-0.15461394
../audio/high--_gb_1.wav,-245.10472,246.945,-13.875168,-10.271807,-41.61462,-7.4919295,-16.30344,3.1961293,18.04911,-24.20503,-12.21389,12.615162,2.909575,-11.197746,-7.054641,-0.40272593,-16.121197,-26.40115,-6.705627,-0.4187053,-9.942549,-1.2912228,6.526119,-3.361163,-7.6155643,-3.7987642,-0.40792894,-13.304493,-0.9563725,6.188718,-14.944952,0.39949167,-1.1779785,0.13555741,-4.7607293,-16.034042,6.9957666,1.087712,-2.8790681,2.137022
../audio/high--_gb_1.wav,-231.35597,242.22305,-20.972157,-9.718311,-31.48055,-0.9607536,-20.448353,7.7267056,8.86521,-24.023373,-9.146415,16.929708,11.4312525,-4.8445435,-16.945868,-7.563754,-3.8820796,-31.28928,-4.3777037,2.7117662,-15.500738,-7.9671803,0.11443585,-2.1383462,-0.83739626,3.817513,-0.581987,-15.670792,-6.3147254,9.920557,-15.911486,2.3649507,8.256882,-4.36231,-2.6670425,-13.295644,2.1786983,-1.378628,-5.889256,0.7554829
../audio/high--_gb_1.wav,-229.61026,238.54219,-20.504711,-4.34105,-26.922325,3.968077,-18.216953,6.841425,5.0982633,-23.087288,-8.786217,20.07304,15.797212,-6.0459003,-18.845692,-5.795165,0.25718462,-26.99276,-2.1715293,-2.0867233,-19.337036,-8.46267,1.4618781,-0.76490796,1.6221545,4.0777855,-3.0892897,-14.420234,-7.8324957,14.161308,-13.755613,-1.0632164,14.384161,-3.8133779,1.0295175,-3.9166346,-2.271582,-3.5463433,-5.681957,-0.94910675
../audio/high--_gb_1.wav,-249.31236,230.72997,-12.386553,1.5050037,-24.47846,12.63144,-11.722951,-4.250495,-3.111893,-23.4384,1.2346864,28.115997,12.664263,-11.413578,-10.805269,7.2423615,-5.314894,-20.321503,1.9909635,-14.423744,-19.528774,-7.312172,6.216656,1.5431392,-3.2826416,2.5435987,-8.258673,-13.512732,-7.7841196,9.232545,-9.259226,-4.145012,12.038834,2.2149572,1.150529,-4.4810863,-4.1713142,-3.4477372,-3.6073465,2.7495005
../audio/high--_gb_1.wav,-260.38342,224.22874,-8.775837,13.7669525,-9.028141,22.237291,-16.696274,-11.382559,-2.7121344,-27.526596,6.0945644,31.819803,8.998667,-13.382755,-10.070463,9.0403385,-2.3025448,-16.253113,-3.5617282,-17.289526,-12.469875,-2.4818907,1.0620917,-1.2524906,-2.4758258,0.76795566,-6.9009733,-12.197615,-6.7138023,8.140527,-5.220379,-3.6666272,7.8156605,6.1890206,-0.25277817,-6.1516905,-2.9196289,-3.4800246,-0.98621583,3.5743766
../audio/high--_gb_1.wav,-275.72348,210.0891,-14.719093,31.998169,4.9256535,25.176285,-17.528631,-18.943836,-4.2232122,-31.578703,14.831356,28.241543,3.7275486,-15.754261,-12.693804,7.8245535,0.1309138,-10.008664,-6.604391,-11.064367,-13.048025,-0.2590385,-4.3252993,-8.66617,-3.6933422,-4.043844,-6.792406,-18.63451,-7.731939,5.161022,-1.1551654,1.5400705,4.795038,1.2539214,-4.1542745,-3.7751327,-1.8932168,4.5121713,2.6270733,-2.529046
