filename,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,mfcc21,mfcc22,mfcc23,mfcc24,mfcc25,mfcc26,mfcc27,mfcc28,mfcc29,mfcc30,mfcc31,mfcc32,mfcc33,mfcc34,mfcc35,mfcc36,mfcc37,mfcc38,mfcc39,mfcc40,mfcc41,mfcc42,mfcc43,mfcc44,mfcc45,mfcc46,mfcc47,mfcc48,mfcc49,mfcc50,mfcc51,mfcc52,mfcc53,mfcc54,mfcc55,mfcc56,mfcc57,mfcc58,mfcc59,mfcc60,mfcc61,mfcc62,mfcc63,mfcc64,mfcc65,mfcc66,mfcc67,mfcc68,mfcc69,mfcc70,mfcc71,mfcc72,mfcc73,mfcc74,mfcc75,mfcc76,mfcc77,mfcc78,mfcc79,mfcc80,mfcc81,mfcc82,mfcc83,mfcc84,mfcc85,mfcc86,mfcc87,mfcc88,mfcc89,mfcc90,mfcc91,mfcc92,mfcc93,mfcc94,mfcc95,mfcc96,mfcc97,mfcc98,mfcc99,mfcc100
../audio/high--_gb_1.wav,-237.314,239.85991,-14.383281,-8.044547,-40.449562,-14.7444515,-40.403183,-11.235392,26.132065,-10.047752,-26.438194,1.4895624,-3.605356,-7.573086,-6.9634933,4.1156116,-1.6761992,-12.992155,-5.3999605,-14.809062,-8.934276,-5.7384577,8.005964,-8.7124195,-4.6037607,1.8978883,-12.307608,-15.319946,-8.769158,0.8338605,-7.514097,3.784802,-3.314824,3.6338272,-9.920742,-13.066641,-4.703474,-9.856859,6.092164,-7.265032,-3.8155508,-1.7915683,-3.2368665,-2.9312658,-4.267273,-2.144454,-4.3075967,-10.014447,-13.009001,-4.6734405,-8.090396,-3.9206161,8.04182,10.879304,13.209375,22.099789,10.288416,-0.6970806,3.5326965,1.1872745,-6.8896174,0.25468004,9.388671,2.5542014,4.2280207,-1.7581241,1.0120525,-1.8556601,-3.6146684,4.3129992,-0.614908,0.8616779,0.83603716,-3.8596182,-1.9167914,1.8068361,0.98950577,5.259083,-2.4145482,-2.0771394,2.3876414,1.9212952,2.5277228,-1.0169109,1.4867619,-5.8035517,-1.7135528,1.2288985,2.3795433,4.080839,1.4162884,2.5458627,-0.5827286,3.8819442,2.0998683,-0.6223779,-3.4091978,-0.704352,2.048258,-1.1122895
../audio/high--_gb_1.wav,-250.97237,246.76343,-1.7845856,-9.875284,-38.124584,-11.647658,-31.745953,-4.842717,26.211935,-9.009975,-20.092068,5.493467,-0.52345246,-7.073781,-3.1560109,9.184322,-3.1717901,-9.077648,-6.555196,-13.026903,-5.389412,-4.4496346,8.054415,-3.731428,1.4087071,-0.8644037,-7.236645,-17.27775,-6.188067,1.9620093,-11.208465,8.278121,1.0748713,7.292562,-10.756109,-8.960115,-1.4066856,-5.004639,4.1686497,-6.0710526,-3.1812222,-5.747179,-0.009599388,-9.211397,-6.194419,-2.571362,-3.311198,-7.8978186,-3.6453786,0.49257833,-14.543564,-5.459203,-3.9202237,2.2789536,7.589448,16.662731,15.980538,9.805501,10.073675,5.715752,-4.4238696,-4.392642,3.162072,-5.217846,2.2163227,-0.02943635,3.7141645,-1.5072508,-7.908691,1.9681352,-1.9633756,1.1162271,2.8628798,-2.2434268,-5.06903,-1.3030612,-0.8921174,3.577798,1.986414,0.43602556,-1.6673008,-2.6705685,-1.0276744,-1.4857105,6.820998,-0.6995926,-1.9524126,-1.0394173,-4.426139,0.4310472,0.7484113,-0.78647757,-1.3060768,0.08884001,0.9601536,1.9692769,0.45949262,-0.6258764,-0.20773411,0.6242255
../audio/high--_gb_1.wav,-252.51683,247.48889,-2.305644,-12.202534,-44.982063,-13.763033,-19.323967,1.4817619,21.313019,-6.636381,-13.986631,5.9381332,1.0100174,-6.0652833,0.023825884,9.247832,-8.604991,-13.193228,-7.4481516,-13.283285,-3.2391088,-3.7313495,8.39965,-3.3033695,-5.3468804,-1.4424028,-5.5237145,-12.075585,-1.2889127,5.7650957,-11.708663,4.8238034,2.891552,5.4721622,-6.649974,-8.533308,5.1584015,-2.2488728,0.11967403,-3.2370262,-4.886367,-4.721948,-1.6507556,-6.757862,-3.4957957,-3.9508867,-6.0139327,-6.1313357,0.32831997,-1.259453,-13.558939,-8.145279,-13.041142,-5.6493697,0.70430636,4.161304,12.330071,8.984311,13.154068,15.190704,1.620122,3.193665,1.3947124,-5.00062,2.5437436,-1.0270045,6.616622,1.9518265,-7.5599194,-2.3208337,-0.8312483,-2.8496606,0.67029095,1.0983272,-2.7995164,-1.4477401,-5.2994795,0.65775347,0.6224122,2.9826176,1.7360458,-0.67146826,-2.853459,-6.142208,4.6484294,0.10457349,0.5162421,0.2435584,-3.4746046,-0.16505694,-1.9419036,-0.69364697,1.9475206,-1.6550183,-2.060095,-1.0439296,-1.442485,2.2919917,-1.1928225,-1.4630415
../audio/high--_gb_1.wav,-248.8688,246.35612,-10.284122,-9.213848,-40.097633,-13.325831,-18.34374,4.261118,19.214935,-13.917423,-13.09258,7.421402,-0.18089533,-10.681392,0.30981374,3.1369636,-17.962877,-20.410835,-9.034507,-6.9347796,-4.9279165,-2.3389788,10.302129,-4.127092,-9.048504,-1.099038,-1.9415841,-8.058971,-0.43465638,5.3197317,-12.55846,-1.4388769,0.5547328,-0.93639624,-8.638362,-12.337432,4.2572207,-0.49657488,0.010008305,-0.15461394,-8.831575,-7.1556892,-5.2577,-5.5823345,-2.2974882,-3.7175984,-8.216731,-9.923621,-0.6834092,-1.2298697,-7.4642544,-5.5120373,-12.964481,-9.882371,-4.494275,-7.375077,3.0274801,5.8778076,8.819475,19.82691,9.319974,10.954351,7.0993834,-2.1239197,-2.0235882,-4.1703234,5.0427084,2.9169183,-2.419139,-5.1519217,2.2633924,-1.7610843,-2.5376167,2.7183661,0.13412261,2.3439894,-2.9011035,0.31263518,-2.9016972,2.1570115,-0.662464,-1.1023397,1.1453402,-5.3009944,1.2473211,-4.306984,1.2886244,3.3193657,-0.35754633,0.3543153,-0.74859774,-0.15932547,0.85700953,2.9514875,3.1327631,0.5041008,-4.3992867,-1.361099,-0.40043068,1.5249244
../audio/high--_gb_1.wav,-245.10472,246.945,-13.875168,-10.271807,-41.61462,-7.4919295,-16.30344,3.1961293,18.04911,-24.20503,-12.21389,12.615162,2.909575,-11.197746,-7.054641,-0.40272593,-16.121197,-26.40115,-6.705627,-0.4187053,-9.942549,-1.2912228,6.526119,-3.361163,-7.6155643,-3.7987642,-0.40792894,-13.304493,-0.9563725,6.188718,-14.944952,0.39949167,-1.1779785,0.13555741,-4.7607293,-16.034042,6.9957666,1.087712,-2.8790681,2.137022,-7.381266,-8.574227,-9.114502,-9.032034,-4.2734756,-4.171934,-4.2414207,-9.844992,-8.506284,0.008582354,-5.5168047,-0.47778845,-6.648841,-9.143222,-0.0788708,-14.189389,-6.679879,-2.175061,-4.1686954,10.572537,7.2312484,13.903167,17.485584,7.6263714,4.2861333,-1.7721872,1.8019361,3.9025202,-1.2699523,-1.1953478,4.137945,0.9723579,-2.440611,-1.7810946,-1.0477741,1.9417925,0.42859817,1.704318,0.5529845,2.9924166,-0.31060886,-0.4419179,0.8791039,-4.7000055,2.4194913,-2.6712623,-2.8766532,3.0189211,0.7556319,2.504569,0.7318771,-0.54574883,0.9678414,1.9422312,2.1498265,2.1063871,-0.11551219,-1.617649,-3.231659,-1.3731201
../audio/high--_gb_1.wav,-231.35597,242.22305,-20.972157,-9.718311,-31.48055,-0.9607536,-20.448353,7.7267056,8.86521,-24.023373,-9.146415,16.929708,11.4312525,-4.8445435,-16.945868,-7.563754,-3.8820796,-31.28928,-4.3777037,2.7117662,-15.500738,-7.9671803,0.11443585,-2.1383462,-0.83739626,3.817513,-0.581987,-15.670792,-6.3147254,9.920557,-15.911486,2.3649507,8.256882,-4.36231,-2.6670425,-13.295644,2.1786983,-1.378628,-5.889256,0.7554829,-1.8214786,-5.1130023,-5.5759106,-7.5041494,-7.426457,-5.5692906,-2.3056927,-6.637269,-12.258856,-1.3882315,-7.7042923,-0.69539523,-3.4540648,-8.350262,5.0369225,-10.264282,-10.908984,-7.7661543,-7.8048477,0.22170311,-0.033837914,9.597561,17.042671,14.047636,11.327357,1.9647374,1.6373644,4.5995016,-3.9575357,-2.1568336,3.1424608,2.6043577,-0.0067768097,-4.3658414,-3.626873,0.1371007,-0.07735264,0.38150978,-1.9006746,1.3322449,4.5880547,0.23078752,-2.410709,-4.7630124,5.1307864,-0.63298607,-7.5735235,1.7256832,0.39016074,0.25477293,-1.4029145,-0.6056574,2.0137947,-1.2516222,-2.3299735,0.9457154,1.5598583,1.490728,0.41522217,-3.8219247
../audio/high--_gb_1.wav,-229.61026,238.54219,-20.504711,-4.34105,-26.922325,3.968077,-18.216953,6.841425,5.0982633,-23.087288,-8.786217,20.07304,15.797212,-6.0459003,-18.845692,-5.795165,0.25718462,-26.99276,-2.1715293,-2.0867233,-19.337036,-8.46267,1.4618781,-0.76490796,1.6221545,4.0777855,-3.0892897,-14.420234,-7.8324957,14.161308,-13.755613,-1.0632164,14.384161,-3.8133779,1.0295175,-3.9166346,-2.271582,-3.5463433,-5.681957,-0.94910675,1.8220851,-3.9490476,-3.9985077,-3.3729787,-4.9796624,-7.3665695,-4.441038,-6.0350657,-12.540839,-0.6836072,-5.3757896,-1.1699662,-1.9552741,-4.5308595,6.1664314,-3.147987,-8.930019,-9.817041,-6.5567317,-6.1712866,-5.769683,1.1525195,8.61782,12.33675,11.725827,9.726431,9.127095,8.144988,-0.06445956,-2.747059,2.481546,4.1359787,3.2332225,2.329646,-2.195339,-2.0169663,-1.0340695,0.9536519,-0.6186304,0.42072716,7.3411264,3.0432975,-3.7609835,-3.9055598,4.0841966,0.03197682,-2.8634555,2.7932744,1.648324,-2.5068927,-1.5528817,3.2438025,2.423249,0.9403782,-2.9023504,-0.25255394,-2.753065,-1.8956542,2.176434,-2.8727946
../audio/high--_gb_1.wav,-249.31236,230.72997,-12.386553,1.5050037,-24.47846,12.63144,-11.722951,-4.250495,-3.111893,-23.4384,1.2346864,28.115997,12.664263,-11.413578,-10.805269,7.2423615,-5.314894,-20.321503,1.9909635,-14.423744,-19.528774,-7.312172,6.216656,1.5431392,-3.2826416,2.5435987,-8.258673,-13.512732,-7.7841196,9.232545,-9.259226,-4.145012,12.038834,2.2149572,1.150529,-4.4810863,-4.1713142,-3.4477372,-3.6073465,2.7495005,3.0081809,-7.4913507,-0.097658515,2.5367036,-2.6867566,-11.018402,-9.310829,-4.0557923,-13.031213,-1.7857809,-4.0750356,-5.700508,-4.017541,-3.9622607,1.1151938,-4.311374,-3.8627286,-6.713684,-7.803897,-5.939757,-6.450097,-5.939271,0.13760567,7.2677317,11.54399,12.330844,13.698921,13.030137,4.5863543,1.7525821,3.0730886,2.4062474,2.562871,2.3475785,0.46507773,0.38585234,-2.4115858,-1.6819706,-2.0360885,-0.508241,4.1031046,2.5848422,-4.3328743,-4.891963,2.8263202,-1.043357,0.79394394,1.6126332,1.5418289,-2.386391,-2.4609256,3.2739182,1.0207988,4.457518,-0.96937835,0.35547745,-3.3034806,-1.5442021,1.7222228,-2.2417753
../audio/high--_gb_1.wav,-260.38342,224.22874,-8.775837,13.7669525,-9.028141,22.237291,-16.696274,-11.382559,-2.7121344,-27.526596,6.0945644,31.819803,8.998667,-13.382755,-10.070463,9.0403385,-2.3025448,-16.253113,-3.5617282,-17.289526,-12.469875,-2.4818907,1.0620917,-1.2524906,-2.4758258,0.76795566,-6.9009733,-12.197615,-6.7138023,8.140527,-5.220379,-3.6666272,7.8156605,6.1890206,-0.25277817,-6.1516905,-2.9196289,-3.4800246,-0.98621583,3.5743766,-0.26253688,-13.207165,2.506222,6.6096005,-3.8161697,-8.592536,-8.496957,-1.4485428,-13.900259,-3.7568903,0.22741821,-6.052169,-2.1952593,-4.1496735,-2.2631183,-2.0351121,0.005234629,-0.23302244,-3.450779,-5.813102,-4.420484,-5.842979,-6.636404,-3.3532104,2.9044075,7.435299,10.900761,14.945105,8.79059,6.2094164,5.486433,0.64559835,-0.69398475,0.49972105,5.0395417,5.5405807,-1.4229903,-0.9778073,0.049417377,-3.7623358,-1.2569709,2.9300058,-1.9176667,-1.5838604,3.2071638,-2.7050138,-0.2887485,2.3754983,3.1934128,0.0007466078,-1.3164859,1.6059101,-1.0344734,2.9459336,1.8958453,2.641683,-0.9670508,-1.5656507,-0.56864643,-3.2573173
../audio/high--_gb_1.wav,-275.72348,210.0891,-14.719093,31.998169,4.9256535,25.176285,-17.528631,-18.943836,-4.2232122,-31.578703,14.831356,28.241543,3.7275486,-15.754261,-12.693804,7.8245535,0.1309138,-10.008664,-6.604391,-11.064367,-13.048025,-0.2590385,-4.3252993,-8.66617,-3.6933422,-4.043844,-6.792406,-18.63451,-7.731939,5.161022,-1.1551654,1.5400705,4.795038,1.2539214,-4.1542745,-3.7751327,-1.8932168,4.5121713,2.6270733,-2.529046,-7.0650864,-15.525288,0.40125525,2.5003517,-1.5958114,-1.3037217,-6.7179165,-1.8250277,-12.312885,-6.7701077,-1.9753928,-7.6301684,-0.5380064,-4.171597,-4.3708677,-6.9860435,-3.153842,3.8500726,-0.60009384,-3.9473372,-6.389323,-5.72338,-11.181916,-11.562711,-2.1842883,6.2906103,12.209125,12.653829,8.773736,8.35817,11.202337,3.3473399,-1.0909756,-0.5530114,0.85262716,3.5164742,-1.5916237,0.6254821,2.7790327,-3.988689,-5.79374,-1.5297587,-0.8774302,0.8079645,3.1794581,-3.0115817,-3.9353356,-2.7841396,-1.9807684,1.2575355,1.7568102,5.2759013,3.41653,-1.2569896,1.6316056,4.3189793,3.7115324,2.184074,-2.3784065,-5.111781
