filename,spectral_centroid,spectral_bandwidth,rolloff,zero_crossing_rate,rmse,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20
ordinary,1224.1863560429206,789.1229232359955,1945.3125,0.2880859375,0.019871641,-225.43687,58.271248,-49.75006,58.306843,-44.23958,-41.45253,-36.01593,5.1648827,-19.735775,24.818274,-12.908347,3.3612876,-4.467615,-4.9725494,7.3341084,-12.143772,-5.561719,-27.733374,-1.701792,-4.31313
ordinary,1407.753135631368,904.4861488727803,2281.25,0.28125,0.014059642,-287.43253,36.11218,-8.748964,61.70139,-56.845642,-36.77501,-25.513577,-1.1624802,-18.436718,23.728546,-14.2586,5.5937905,-11.33111,5.408437,-4.628526,-8.082284,-2.3333611,-26.519817,-3.164608,-9.982016
ordinary,1608.1089197629606,965.7545501806906,2476.5625,0.2294921875,0.007468081,-401.5764,21.75272,22.939362,60.51631,-50.826656,-14.681805,-6.621747,-13.630818,-6.8449974,18.108414,-10.496538,1.1080265,-19.452803,6.8108034,-6.748349,2.3232636,-12.983593,-16.997929,6.0066805,-14.372742
high,1615.6688160071687,924.6337789771144,2851.5625,0.15576171875,0.053186223,-269.95062,6.668826,-55.38552,-3.9949956,7.1149154,-3.8256888,-18.256823,16.35474,-18.917553,4.610369,-17.962666,-21.682552,-8.184227,-7.6708302,7.7794933,-1.9579725,-0.027056456,2.0217752,10.087284,8.504988
high,1211.5253292206364,774.5400143410093,1781.25,0.21533203125,0.08769972,-150.80702,32.855667,-75.04877,-13.425266,4.973741,-12.840721,-27.748924,3.5772226,-31.98385,-1.1139636,-13.542131,-29.29815,-15.949545,-14.560583,3.7991047,-12.670855,-7.038108,-12.089604,5.503635,30.118837
high,1208.952546440271,694.7268469486108,1656.25,0.271484375,0.122819915,-53.91075,26.056648,-105.09529,-24.67081,-3.5559788,-11.682566,-34.205803,0.4085669,-35.63179,-7.9504433,-6.668292,-29.824448,-12.311602,-14.865565,5.826049,-16.829834,-5.49092,-15.641327,-10.64855,17.58134
high,1239.1252405249957,692.2060871406794,1742.1875,0.23388671875,0.13320106,-16.805428,18.117336,-122.31467,-35.67146,-20.297821,-12.183994,-35.276955,-1.8947215,-35.60154,-6.6001015,-5.375324,-31.14974,-7.5269775,-15.04878,4.345852,-19.826498,-11.052541,-15.2107315,-15.491367,4.0752983
high,1226.5251350562207,708.8277752798666,1824.21875,0.19580078125,0.1299123,-29.79408,19.174059,-117.79953,-37.379623,-30.990559,-10.118357,-27.295525,-5.426718,-33.210686,-1.2069869,-7.890675,-29.419254,-5.6155624,-16.969315,7.6289887,-16.400356,-13.295343,-15.892109,-16.188835,-2.4129205
high,1156.613562792475,771.3817579261665,1957.03125,0.1552734375,0.10328083,-93.01117,32.244225,-81.51868,-26.691822,-36.855698,-2.6396925,-25.48488,-15.537743,-26.406765,-0.41920358,-14.463332,-21.816105,-8.201196,-16.895802,9.637869,-11.47496,-9.050819,-17.878159,-8.492029,2.3837395
high,1164.7821452253454,974.3489162052429,2500.0,0.14990234375,0.05712281,-205.19104,40.713356,-13.281731,-23.578657,-49.744637,9.951956,-29.74488,-9.950834,-12.96422,-10.342915,-14.945504,-15.699211,-13.17049,-13.968372,4.947546,-12.572047,1.5345596,-12.223486,-5.037999,-5.849843
high,1235.6118130912464,1127.4738463883266,2757.8125,0.14306640625,0.024385264,-325.4761,44.59632,27.274513,-14.734703,-36.562103,19.74144,-30.547197,-1.7129836,-10.45723,-16.86056,-9.802702,-19.441513,-14.234165,-6.7728734,-1.444073,-15.928081,6.092821,-5.1070356,4.497146,-5.479908
high,1176.6527183523367,1132.2539621050887,2628.90625,0.15625,0.007762025,-488.79965,51.38659,29.908178,15.720444,-17.323902,25.362186,-17.293247,-7.162325,-5.428149,-14.198561,-11.012827,-16.39119,-15.887351,-5.1994762,3.189897,-13.469238,10.256665,-7.9464197,6.9265804,2.875841
